,대표코드,품명,품번,경면(전면),임가공처
378,B3-313,Almeria Ash,14-11089-134,UK,목림
379,A3-304,Bornholm Ash,14-11096-001,UK,목림
380,C45-130,Bornholm Ash,14-11096-104,L,
381,B3-745,Bornholm Ash,14-11096-104,UK,
382,A3-815,Almeria Ash,14-11389-129,UK,목림
383,A3-816,Almeria Ash,14-11389-130,UK,목림
384,B45-866,Bornholm Esche,14-11397-100,L,
385,A3-515,Bornholm Esche,14-11397-100,UK,목림
386,A3-516,Moldau Acacia,14-12004-002,UK,목림
387,A39-731,Moldau Acacia,14-12004-003,TK,목림(유사 J)
388,A3-730,Moldau Acacia,14-12004-003,UK,목림
389,B3-210,Moldau Acacia,14-12004-004,UK,목림
390,A4-648,Moldau Acacia,14-12004-004,소프트엠보 ,"목림,승은산업,건창기업,제이제이 데코 등"
391,B25-623,Moldau Acacia,14-12004-180,J,
392,A3-517,Moldau Acacia,14-12004-180,UK,목림
393,A3-69,Moldau Acacia,14-12004-186,UK,목림
394,A3-518,Moldau Acacia,14-12004-205,UK,목림
395,A3-858,Moldau Acacia,14-12004-245,UK,목림
396,B45-867,Gran Sasso Chestnut,14-12025-104,L,
397,B59-555,Gran Sasso Chestnut,14-12025-104,LV,건창기업
398,B3-312,Gran Sasso Chestnut,14-12025-104,UK,목림
399,A3-846,Armagnac Ruster,14-12029-122,UK,목림
400,B45-621,Armagnac Ruster,14-12029-122,L,
401,A25-295,Armagnac Elm ,14-12029-134,J,건창기업(유사 TK)
402,A3-68,Armagnac Elm ,14-12029-134,UK,목림
403,B3-865,Taormina Elm,14-12037-001,UK,
404,B3-161,Taormina Elm,14-12037-003,UK,목림
405,A13-128,Taormina Elm,14-12037-003,IT,목림
406,A3-62,Olmo Fidia,14-12052-101,UK,목림
407,A3-77,Olmo Fidia Excl.,14-12052-117,UK,목림
408,C45-89,Olmo Fidia Excl.,14-12052-117,L,
409,A25-220,Olmo Fidia Excl.,14-12052-117,J,건창기업(유사 TK)
410,A3-396,Tribeca,14-12057-103,UK,목림
411,A3-153,Tribeca Elm,14-12057-110,UK,목림
412,A7-935,Tribeca,14-12057-114,민자,"목림,승은산업,건창기업,제이제이 데코 등"
413,HF2-22,Tribeca,14-12057-114,NM,메라톤
414,B43-16,Tribeca,14-12057-114,목림246,목림
415,A3-154,Tribeca,14-12057-114(동원광주현장은128확인必),UK,목림
416,A3-275,Saratoga Hickory,14-12059-003,UK,목림
417,A25-223,Saratoga Hickory,14-12059-003,J,건창기업(유사 TK)
418,A3-196,Kitami Elm,14-12073-002,UK,목림
419,A24-261,Morava Acacia,14-12080-002,QT,"목림,승은산업, 제이제이데코"
420,A3-247,Jackson Hickory,14-12081-001,UK,목림
421,A3-246,Ventura Chestnut,14-12089-001,UK,목림
422,B3-123,California Elm,14-12095-001,UK,목림
423,B3-124,California Elm,14-12095-003,UK,목림
424,B3-125,California Elm,14-12095-004,UK,목림
425,HF4-43,Canyon Malibu Chestnut,14-12101-003,BF,
426,B45-196,Canyon Malibu Chestnut,14-12101-003,L,건창기업
427,A3-380,Canyon Malibu Chestnut,14-12101-003,UK,목림
428,HF2-31,Canyon Padua Chestnut,14-12119-001,NM,메라톤
429,C45-108,Castagno Arona,14-12192-001,L,
430,A3-366,Catalonia Ruster Excl.,14-12302-106,UK,목림
431,B45-505,Catalonia Ruster Excl.,14-12302-106,L,
432,A39-594,Catalonia Ruster Excl.,14-12302-106,TK,목림(유사 J)
433,B3-434,Catalonia Ruster Excl.,14-12302-107,UK,
434,B45-506,Catalonia Ruster Excl.,14-12302-107,L,
435,B45-512,Morava Acacia,14-12319-002,L,
436,HF3-33,Morava Acacia,14-12319-002,HR,메라톤
